Ponto;Profundidade;pH CaCl2;P meh-û mg.dm-ü;K mg.dm-ü;S mg.dm-ü;Ca cmolc.dm-ü;Mg cmolc.dm-ü;Al cmolc.dm-ü;MO dag.kg-û;B mg.dm-ü;Cu mg.dm-ü;Fe mg.dm-ü;Mn mg.dm-ü;Zn mg.dm-ü;T cmolc.dm-ü;t cmolc.dm-ü;V %;Ca/Mg;Ca/T %;Mg/T %;K/T %;Argila %;Areia total %
1;00-20;5,4;3,4;31;;1,5;0,5;0;2;;;;;;3,88;2,08;53,599998;3;38,700001;12,9;2,1;57,5;35
2;00-20;5,3;7,4;46;19,6;1,7;0,5;0;2,1;0,18;0,3;40;0,5;1,3;4,32;2,32;53,700001;3,4;39,400002;11,6;2,8;62,5;30
3;00-20;5,4;4,6;47;;1,9;0,7;0;2,5;;;;;;4,72;2,72;57,599998;2,7;40,299999;14,8;2,5;57,5;32,5
4;00-20;5,4;1;55;;1,8;0,9;0;2,2;;;;;;4,64;2,84;61,200001;2;38,799999;19,4;3;57,5;32,5
5;00-20;5,8;7,6;88;;4,2;1,3;0;2;;;;;;7,23;5,73;79,300003;3,2;58,099998;18;3,2;45;45
6;00-20;5,4;3,3;69;;2,5;1,2;0;2,6;;;;;;5,88;3,88;66;2,1;42,5;20,4;3,1;52,5;40
7;00-20;5,5;9,8;36;13,5;2,4;0,9;0;2,1;0,158;0,4;38;0,4;0,6;5,19;3,39;65,300003;2,7;46,200001;17,299999;1,7;47,5;42,5
8;00-20;5,4;3,5;46;;1,6;0,8;0;2,1;;;;;;4,52;2,52;55,799999;2;35,400002;17,700001;2,7;45;45
9;00-20;5,8;11,5;98;;2,3;0,9;0;2,1;;;;;;4,95;3,45;69,699997;2,6;46,5;18,200001;5,1;57,5;35
10;00-20;5,6;9,5;96;;2,2;0,9;0;2,4;;;;;;4,95;3,35;67,699997;2,4;44,400002;18,200001;5,1;57,5;32,5
11;00-20;6,1;7,8;42;;7,3;0,1;0;2;;;;;;8,71;7,51;86,199997;73;83,800003;1,1;1,3;55;35
12;00-20;5,4;4,7;45;;2,3;0,7;0;2,2;;;;;;4,92;3,12;63,400002;3,3;46,700001;14,2;2,4;55;32,5
13;00-20;5,8;3,6;40;;4,9;2;0;2,1;;;;;;8,5;7;82,400002;2,5;57,599998;23,5;1,2;55;32,5
14;00-20;5,7;10,3;50;;3,3;1,2;0;2,2;;;;;;6,23;4,63;74,300003;2,7;53;19,299999;2,1;52,5;37,5
15;00-20;5,4;3,1;75;13,9;2,6;0,8;0;2,2;0,129;0,3;34;0,3;0,5;5,39;3,59;66,599998;3,2;48,200001;14,8;3,5;57,5;35
16;00-20;5,6;3,4;68;;2,5;1;0;2,1;;;;;;5,27;3,67;69,599998;2,5;47,400002;19;3,2;55;40
1;20-40;;;;;;;;;;;;;;;;;;;;;;
2;20-40;4,7;1;26;24,799999;0,3;0,1;0,5;1,6;;;;;;3,57;0,97;13,2;3;8,4;2,8;2;;
3;20-40;;;;;;;;;;;;;;;;;;;;;;
4;20-40;;;;;;;;;;;;;;;;;;;;;;
5;20-40;;;;;;;;;;;;;;;;;;;;;;
6;20-40;;;;;;;;;;;;;;;;;;;;;;
7;20-40;5,3;0,9;25;19,6;0,8;0,3;0;1,5;;;;;;3,36;1,16;34,5;2,7;23,799999;8,9;1,8;;
8;20-40;;;;;;;;;;;;;;;;;;;;;;
9;20-40;;;;;;;;;;;;;;;;;;;;;;
10;20-40;;;;;;;;;;;;;;;;;;;;;;
11;20-40;;;;;;;;;;;;;;;;;;;;;;
12;20-40;;;;;;;;;;;;;;;;;;;;;;
13;20-40;;;;;;;;;;;;;;;;;;;;;;
14;20-40;;;;;;;;;;;;;;;;;;;;;;
15;20-40;4,7;0,9;37;20,799999;0,6;0,2;0,4;1,8;;;;;;3,99;1,29;22,299999;3;15;5;2,3;;
16;20-40;;;;;;;;;;;;;;;;;;;;;;
